"index","id","chain","offer","repeattrips","repeater","offerdate"
40,68405887,95,1197502,0,f,"2013-03-25"
2,68451850,4,1204576,0,f,"2013-04-07"
9,68468663,14,1204576,0,f,"2013-04-06"
5,68553518,17,1197502,0,f,"2013-03-26"
5,68553874,17,1204576,0,f,"2013-04-23"
10,68619204,15,1208252,0,f,"2013-04-23"
10,68734411,15,1197502,0,f,"2013-03-30"
12,68886117,18,1204821,0,f,"2013-04-03"
8,68903050,20,1197502,1,t,"2013-03-29"
8,69233695,20,1197502,0,f,"2013-03-26"
2,69355551,4,1197502,0,f,"2013-03-26"
10,69666042,15,1208251,6,t,"2013-04-24"
15,69727908,88,1204576,0,f,"2013-04-04"
15,69802491,88,1197502,0,f,"2013-03-29"
15,69900479,88,1197502,0,f,"2013-03-27"
5,70163937,17,1197502,1,t,"2013-03-28"
10,70217582,15,1204822,0,f,"2013-04-23"
8,70302821,20,1197502,0,f,"2013-03-25"
2,70312933,4,1197502,0,f,"2013-03-27"
15,70401965,88,1197502,0,f,"2013-03-25"
10,70623585,15,1197502,1,t,"2013-03-27"
40,70692138,95,1197502,0,f,"2013-03-25"
15,71054734,88,1197502,2,t,"2013-04-19"
15,71322589,88,1197502,0,f,"2013-03-26"
2,71378695,4,1197502,0,f,"2013-03-26"
15,71719354,88,1208251,0,f,"2013-04-23"
5,72013530,17,1197502,0,f,"2013-04-03"
10,72251692,15,1204822,0,f,"2013-04-12"
5,72495512,17,1197502,0,f,"2013-04-08"
10,72587201,15,1197502,0,f,"2013-03-28"
10,72600846,15,1208251,0,f,"2013-04-24"
5,72954514,17,1197502,0,f,"2013-04-02"
2,73121994,4,1197502,0,f,"2013-03-26"
12,73222886,18,1197502,0,f,"2013-03-26"
5,73238650,17,1197502,0,f,"2013-04-21"
40,73325479,95,1197502,0,f,"2013-03-25"
15,73327812,88,1197502,0,f,"2013-03-28"
10,73327813,15,1197502,4,t,"2013-03-25"
10,73410200,15,1197502,0,f,"2013-04-01"
10,73552673,15,1204576,0,f,"2013-04-06"
10,73606559,15,1204576,1,t,"2013-04-04"
3,73719666,3,1208251,0,f,"2013-04-28"
15,73891863,88,1208251,0,f,"2013-04-27"
2,74059460,4,1197502,0,f,"2013-03-27"
8,74332465,20,1197502,0,f,"2013-03-26"
10,74469519,15,1197502,1,t,"2013-03-27"
2,75006613,4,1197502,0,f,"2013-03-26"
10,75032259,15,1204576,0,f,"2013-04-05"
2,75051515,4,1197502,0,f,"2013-03-29"
2,75088826,4,1204576,0,f,"2013-04-07"
2,75144651,4,1208251,1,t,"2013-04-27"
9,75251925,14,1197502,0,f,"2013-03-26"
3,75547491,3,1197502,0,f,"2013-03-26"
2,75562862,4,1208251,1,t,"2013-04-23"
2,75682991,4,1208251,0,f,"2013-04-26"
2,75697857,4,1197502,1,t,"2013-03-28"
2,75902494,4,1197502,0,f,"2013-03-25"
40,76029192,95,1197502,3,t,"2013-03-25"
2,76053542,4,1197502,0,f,"2013-03-27"
3,76210273,3,1200581,4,t,"2013-04-11"
10,76212982,15,1197502,1,t,"2013-03-26"
5,76422259,17,1208251,2,t,"2013-04-26"
8,76810402,20,1197502,5,t,"2013-03-28"
5,76957383,17,1204576,0,f,"2013-04-07"
10,77057322,15,1197502,0,f,"2013-03-27"
9,77202444,14,1197502,0,f,"2013-03-28"
10,77225308,15,1204821,1,t,"2013-04-19"
12,77250071,18,1197502,0,f,"2013-04-22"
5,77270297,17,1208252,1,t,"2013-04-25"
2,77478019,4,1197502,1,t,"2013-03-28"
9,77660546,14,1197502,0,f,"2013-03-30"
2,77706058,4,1197502,1,t,"2013-03-25"
2,77734788,4,1197502,1,t,"2013-03-25"
9,77760889,14,1204576,0,f,"2013-04-06"
2,77801039,4,1197502,0,f,"2013-04-17"
15,77989055,88,1197502,0,f,"2013-03-25"
12,77998305,18,1197502,1,t,"2013-03-25"
8,78011710,20,1197502,0,f,"2013-03-29"
12,78038363,18,1197502,0,f,"2013-03-30"
8,78093985,20,1197502,0,f,"2013-03-25"
2,78493420,4,1197502,0,f,"2013-03-25"
15,78533743,88,1197502,0,f,"2013-03-29"
10,78584042,15,1204821,0,f,"2013-04-05"
10,78682016,15,1197502,0,f,"2013-03-28"
10,78774376,15,1197502,0,f,"2013-03-25"
10,78811334,15,1204576,0,f,"2013-04-04"
5,78828559,17,1197502,0,f,"2013-03-28"
12,78851124,18,1197502,1,t,"2013-03-27"
10,79022865,15,1197502,0,f,"2013-03-26"
10,79082239,15,1197502,0,f,"2013-04-01"
10,79296732,15,1197502,0,f,"2013-03-31"
12,79842864,18,1197502,0,f,"2013-04-16"
12,79878358,18,1208251,2,t,"2013-04-23"
5,79920713,17,1197502,0,f,"2013-03-29"
12,80065065,18,1200582,0,f,"2013-04-04"
12,80066853,18,1204821,0,f,"2013-04-22"
5,80270619,17,1197502,0,f,"2013-03-28"
12,80503859,18,1197502,0,f,"2013-03-29"
10,80511118,15,1197502,0,f,"2013-04-19"
10,80786289,15,1197502,0,f,"2013-03-30"
2,80812040,4,1208251,1,t,"2013-04-24"
2,81127950,4,1197502,0,f,"2013-03-25"
8,81280152,20,1208252,1,t,"2013-04-29"
10,82599973,15,1204821,0,f,"2013-04-12"
10,82616656,15,1197502,0,f,"2013-03-27"
10,82691007,15,1197502,0,f,"2013-03-27"
10,82704044,15,1197502,0,f,"2013-03-25"
10,82723973,15,1197502,1,t,"2013-03-26"
2,82765230,4,1197502,0,f,"2013-03-29"
40,82779026,95,1197502,0,f,"2013-03-25"
2,82794063,4,1204576,4,t,"2013-04-21"
2,83288376,4,1208251,2,t,"2013-04-25"
3,83293219,3,1208251,1,t,"2013-04-24"
3,83312233,3,1197502,2,t,"2013-03-29"
2,83346475,4,1197502,0,f,"2013-03-25"
2,83403945,4,1208251,2,t,"2013-04-29"
15,83512653,88,1197502,1,t,"2013-03-27"
40,83741316,95,1197502,2,t,"2013-03-27"
40,83756976,95,1197502,0,f,"2013-03-26"
2,83806440,4,1200582,1,t,"2013-04-01"
40,83868868,95,1197502,0,f,"2013-03-26"
10,83961677,15,1204576,0,f,"2013-04-06"
12,84214407,18,1197502,0,f,"2013-03-26"
10,84251640,15,1197502,2,t,"2013-03-29"
10,84290725,15,1197502,0,f,"2013-03-29"
9,84366538,14,1197502,1,t,"2013-03-28"
9,84546911,14,1197502,0,f,"2013-04-01"
10,84622907,15,1197502,0,f,"2013-04-06"
5,84736190,17,1197502,0,f,"2013-04-17"
10,84937280,15,1208251,1,t,"2013-04-23"
12,85167394,18,1197502,0,f,"2013-03-26"
10,85287702,15,1197502,0,f,"2013-03-26"
40,85393359,95,1197502,0,f,"2013-03-26"
5,85667880,17,1197502,0,f,"2013-03-28"
5,85811085,17,1200581,0,f,"2013-03-30"
2,86154247,4,1197502,1,t,"2013-03-25"
2,86467278,4,1200581,0,f,"2013-04-02"
15,86528154,88,1200581,0,f,"2013-03-30"
2,86650559,4,1197502,1,t,"2013-03-28"
12,86954719,18,1197502,0,f,"2013-03-28"
5,86990589,17,1200988,0,f,"2013-03-25"
10,86991152,15,1197502,0,f,"2013-04-21"
5,86995220,17,1197502,0,f,"2013-03-25"
15,87011416,88,1204576,0,f,"2013-04-06"
15,87030734,88,1208251,0,f,"2013-04-24"
8,87132362,20,1197502,1,t,"2013-03-25"
10,87277803,15,1208251,1,t,"2013-04-23"
10,87278931,15,1197502,0,f,"2013-03-25"
12,87542139,18,1197502,0,f,"2013-03-25"
3,87979812,3,1197502,0,f,"2013-03-29"
2,87988583,4,1204576,0,f,"2013-04-04"
8,88081145,20,1197502,0,f,"2013-04-01"
40,88100026,95,1197502,0,f,"2013-03-26"
5,88197317,17,1197502,0,f,"2013-03-27"
15,88330358,88,1197502,0,f,"2013-04-02"
2,88385472,4,1208251,0,f,"2013-04-23"
8,88780802,20,1197502,0,f,"2013-04-09"
15,88798493,88,1200988,0,f,"2013-03-17"
15,88852308,88,1197502,0,f,"2013-03-29"
3,88859651,3,1197502,1,t,"2013-04-01"
12,88947105,18,1197502,0,f,"2013-03-28"
10,89021473,15,1197502,0,f,"2013-03-26"
8,89121969,20,1197502,1,t,"2013-03-25"
2,89122689,4,1197502,1,t,"2013-03-26"
9,89319101,14,1208252,0,f,"2013-04-29"
5,89332055,17,1200581,0,f,"2013-03-30"
2,89335145,4,1204576,0,f,"2013-04-07"
2,89508961,4,1197502,0,f,"2013-04-07"
10,89549222,15,1197502,0,f,"2013-03-26"
10,89594685,15,1208251,0,f,"2013-04-25"
10,90300011,15,1197502,0,f,"2013-03-26"
10,90435395,15,1197502,1,t,"2013-03-25"
12,90459912,18,1197502,0,f,"2013-03-30"
12,90520885,18,1197502,0,f,"2013-03-25"
9,90548180,14,1208251,2,t,"2013-04-23"
9,90587177,14,1208251,1,t,"2013-04-26"
40,90675707,95,1197502,0,f,"2013-03-26"
2,90732345,4,1197502,0,f,"2013-03-29"
12,90744384,18,1197502,0,f,"2013-03-26"
2,90887963,4,1200581,0,f,"2013-03-30"
12,91365072,18,1200582,0,f,"2013-04-01"
3,91452911,3,1197502,0,f,"2013-04-04"
3,91532519,3,1197502,0,f,"2013-03-26"
10,91550080,15,1204822,1,t,"2013-04-05"
12,91595859,18,1197502,0,f,"2013-03-25"
3,91662030,3,1200581,0,f,"2013-03-31"
2,91858772,4,1197502,0,f,"2013-03-27"
8,91998805,20,1208251,2,t,"2013-04-26"
2,92083732,4,1208251,1,t,"2013-04-30"
3,92194630,3,1208251,0,f,"2013-04-26"
40,92248581,95,1197502,0,f,"2013-03-26"
9,92736314,14,1208252,2,t,"2013-04-25"
8,92889445,20,1197502,0,f,"2013-03-30"
2,93512574,4,1204576,0,f,"2013-04-04"
10,93737740,15,1197502,0,f,"2013-04-06"
9,94315295,14,1197502,0,f,"2013-03-29"
8,94732389,20,1197502,0,f,"2013-03-30"
5,94877636,17,1208251,0,f,"2013-04-28"
9,95138078,14,1197502,0,f,"2013-03-25"
40,95268323,95,1197502,1,t,"2013-03-26"
2,95293170,4,1197502,0,f,"2013-03-31"
9,95670777,14,1197502,0,f,"2013-04-19"
9,95721843,14,1197502,0,f,"2013-03-25"
10,95890860,15,1197502,0,f,"2013-03-25"
2,95990981,4,1197502,0,f,"2013-03-31"
9,96001726,14,1197502,1,t,"2013-04-01"
2,96203375,4,1197502,1,t,"2013-03-29"
12,96281025,18,1197502,0,f,"2013-03-30"
8,96401350,20,1197502,0,f,"2013-03-25"
40,96487967,95,1197502,1,t,"2013-03-31"
2,96689034,4,1208251,0,f,"2013-04-23"
2,96694287,4,1197502,0,f,"2013-04-06"
5,96695996,17,1200581,0,f,"2013-04-07"
12,96703041,18,1204821,0,f,"2013-04-19"
40,96705509,95,1208251,0,f,"2013-04-28"
12,96753577,18,1208251,0,f,"2013-04-26"
9,96787408,14,1197502,0,f,"2013-03-29"
9,96791189,14,1197502,0,f,"2013-04-18"
10,96798619,15,1208251,0,f,"2013-04-24"
3,96798901,3,1197502,1,t,"2013-03-31"
40,96862813,95,1197502,0,f,"2013-03-25"
10,96910683,15,1197502,1,t,"2013-03-25"
9,96915406,14,1197502,0,f,"2013-03-31"
8,96925373,20,1197502,0,f,"2013-03-25"
12,96948714,18,1197502,0,f,"2013-03-26"
10,96955164,15,1197502,0,f,"2013-04-25"
10,97014747,15,1197502,2,t,"2013-03-25"
40,97030643,95,1197502,0,f,"2013-03-26"
9,97065108,14,1197502,2,t,"2013-03-29"
10,97069364,15,1197502,0,f,"2013-04-04"
5,97072775,17,1204576,0,f,"2013-04-04"
10,97099738,15,1197502,0,f,"2013-03-27"
2,97115483,4,1197502,0,f,"2013-03-27"
12,97132104,18,1208251,0,f,"2013-04-23"
9,97138046,14,1200582,2,t,"2013-04-02"
2,97167859,4,1197502,1,t,"2013-04-02"
5,97177041,17,1197502,0,f,"2013-03-26"
3,97186684,3,1200581,0,f,"2013-04-01"
10,97201274,15,1197502,0,f,"2013-03-26"
12,97207695,18,1208251,0,f,"2013-04-28"
2,97207883,4,1208251,1,t,"2013-04-23"
10,97234456,15,1197502,0,f,"2013-04-16"
3,97252136,3,1197502,3,t,"2013-03-26"
8,97272067,20,1197502,0,f,"2013-04-02"
2,97286086,4,1208251,0,f,"2013-04-27"
2,97293086,4,1197502,2,t,"2013-03-25"
5,97294396,17,1204576,0,f,"2013-04-05"
9,97319874,14,1197502,0,f,"2013-03-27"
12,97403048,18,1197502,0,f,"2013-03-28"
10,97448121,15,1197502,0,f,"2013-03-25"
12,97466869,18,1197502,0,f,"2013-03-26"
10,97482367,15,1197502,0,f,"2013-03-28"
12,97495805,18,1197502,2,t,"2013-03-31"
10,97508741,15,1197502,1,t,"2013-03-28"
10,97524505,15,1197502,0,f,"2013-04-02"
10,97545130,15,1200988,0,f,"2013-03-26"
9,97549936,14,1197502,0,f,"2013-04-01"
9,97563244,14,1197502,0,f,"2013-03-26"
2,97569740,4,1208251,0,f,"2013-04-26"
5,97574851,17,1200582,0,f,"2013-03-30"
12,97588414,18,1204822,0,f,"2013-04-17"
9,97590292,14,1200581,0,f,"2013-04-02"
10,97603715,15,1197502,1,t,"2013-04-17"
15,97657346,88,1208251,0,f,"2013-04-27"
10,97682960,15,1208251,0,f,"2013-04-28"
8,97684130,20,1197502,1,t,"2013-03-25"
12,97698632,18,1208252,1,t,"2013-04-25"
10,97737931,15,1197502,0,f,"2013-04-18"
10,97751353,15,1204576,0,f,"2013-04-25"
2,97763238,4,1197502,0,f,"2013-03-26"
3,97795325,3,1204576,2,t,"2013-04-04"
9,97822056,14,1204576,0,f,"2013-04-04"
2,97962872,4,1197502,0,f,"2013-04-08"
12,97974482,18,1208251,1,t,"2013-04-23"
15,97984848,88,1204576,0,f,"2013-04-04"
5,97988427,17,1200581,0,f,"2013-03-31"
3,98071990,3,1197502,0,f,"2013-04-01"
2,98075215,4,1197502,0,f,"2013-03-28"
10,98081525,15,1197502,0,f,"2013-04-02"
15,98101226,88,1197502,1,t,"2013-03-27"
2,98104435,4,1197502,0,f,"2013-03-27"
8,98104751,20,1197502,0,f,"2013-03-27"
2,98106094,4,1197502,0,f,"2013-04-17"
15,98115925,88,1197502,0,f,"2013-03-26"
10,98180860,15,1197502,0,f,"2013-03-25"
5,98189125,17,1197502,0,f,"2013-04-07"
10,98202210,15,1197502,0,f,"2013-03-26"
2,98204879,4,1204576,0,f,"2013-04-07"
2,98206846,4,1208251,3,t,"2013-04-23"
2,98207874,4,1197502,1,t,"2013-03-26"
10,98219529,15,1197502,0,f,"2013-03-26"
8,98249565,20,1197502,0,f,"2013-03-27"
10,98250861,15,1197502,0,f,"2013-04-02"
10,98254972,15,1197502,0,f,"2013-04-17"
9,98265099,14,1208251,0,f,"2013-04-23"
3,98272111,3,1197502,0,f,"2013-04-19"
10,98280071,15,1208251,0,f,"2013-04-26"
10,98292528,15,1204821,0,f,"2013-04-24"
12,98313447,18,1197502,0,f,"2013-03-26"
5,98319236,17,1200581,0,f,"2013-03-30"
10,98330529,15,1197502,1,t,"2013-04-01"
8,98377774,20,1208251,1,t,"2013-04-24"
10,98395229,15,1197502,0,f,"2013-03-27"
10,98408607,15,1197502,0,f,"2013-03-28"
8,98411638,20,1197502,0,f,"2013-04-18"
5,98416819,17,1197502,0,f,"2013-03-25"
5,98422094,17,1197502,0,f,"2013-03-27"
9,98432209,14,1197502,0,f,"2013-03-26"
2,98440819,4,1197502,0,f,"2013-04-21"
5,98447256,17,1197502,0,f,"2013-04-20"
5,98453496,17,1197502,0,f,"2013-03-27"
10,98483399,15,1208251,0,f,"2013-04-23"
12,98496966,18,1197502,0,f,"2013-04-01"
5,98499811,17,1197502,0,f,"2013-04-05"
8,98500404,20,1200581,0,f,"2013-03-30"
10,98501271,15,1204822,0,f,"2013-04-20"
5,98507509,17,1197502,0,f,"2013-04-07"
10,98514496,15,1208251,0,f,"2013-04-23"
40,98540232,95,1197502,0,f,"2013-03-29"
10,98543680,15,1197502,0,f,"2013-03-25"
40,98576426,95,1197502,0,f,"2013-03-30"
40,98664889,95,1197502,0,f,"2013-03-25"
15,98680391,88,1204576,0,f,"2013-04-04"
15,98688319,88,1208251,0,f,"2013-04-24"
2,98736485,4,1204576,0,f,"2013-04-07"
10,98750512,15,1197502,0,f,"2013-03-27"
15,98765747,88,1200582,0,f,"2013-04-08"
2,98776344,4,1197502,0,f,"2013-03-25"
10,98789280,15,1208251,0,f,"2013-04-27"
5,98841084,17,1197502,0,f,"2013-04-08"
10,98864144,15,1197502,0,f,"2013-04-16"
9,98870517,14,1197502,0,f,"2013-03-31"
10,98883158,15,1197502,0,f,"2013-03-26"
2,98887409,4,1204576,0,f,"2013-04-06"
12,98913505,18,1197502,0,f,"2013-03-26"
2,98948079,4,1200581,0,f,"2013-03-30"
2,98970269,4,1208251,0,f,"2013-04-25"
12,98977997,18,1197502,1,t,"2013-03-25"
15,98991892,88,1197502,0,f,"2013-03-25"
15,99027930,88,1197502,0,f,"2013-03-25"
12,99048766,18,1197502,0,f,"2013-03-26"
40,99056131,95,1204821,0,f,"2013-04-17"
12,99056555,18,1197502,1,t,"2013-03-29"
40,99066247,95,1197502,0,f,"2013-04-06"
8,99069701,20,1197502,0,f,"2013-03-30"
2,99088826,4,1197502,1,t,"2013-04-03"
10,99113586,15,1197502,0,f,"2013-03-27"
5,99128004,17,1204576,0,f,"2013-04-06"
12,99136154,18,1204822,0,f,"2013-04-19"
9,99151280,14,1197502,1,t,"2013-03-26"
2,99155110,4,1197502,1,t,"2013-03-27"
10,99185180,15,1197502,0,f,"2013-03-30"
40,99195309,95,1200581,0,f,"2013-04-10"
2,99196847,4,1197502,1,t,"2013-04-01"
8,99205395,20,1197502,1,t,"2013-03-30"
10,99207287,15,1197502,2,t,"2013-04-06"
10,99228166,15,1197502,1,t,"2013-03-29"
2,99258138,4,1208251,2,t,"2013-04-25"
2,99268154,4,1204576,0,f,"2013-04-05"
8,99302327,20,1197502,0,f,"2013-03-25"
10,99335562,15,1197502,1,t,"2013-04-06"
8,99338226,20,1197502,1,t,"2013-03-25"
8,99341178,20,1197502,0,f,"2013-03-25"
5,99349386,17,1204576,0,f,"2013-04-06"
12,99355197,18,1197502,0,f,"2013-04-02"
10,99364271,15,1197502,0,f,"2013-03-30"
10,99377893,15,1197502,0,f,"2013-03-30"
12,99411486,18,1197502,0,f,"2013-03-26"
2,99416039,4,1197502,0,f,"2013-03-29"
10,99418677,15,1197502,0,f,"2013-04-20"
5,99425963,17,1197502,1,t,"2013-03-26"
5,99436424,17,1197502,1,t,"2013-03-29"
10,99451951,15,1204821,0,f,"2013-04-06"
